balanced_accuracy_mean,condition,f1_mean,lambda,precision_mean,recall_mean,selected_edges_mean
0.5,Linear VAR(1),0.3636363636363636,0.01,0.22222222222222224,1.0,90.0
0.5,Linear VAR(1),0.3636363636363636,0.04,0.22222222222222224,1.0,90.0
0.5,Linear VAR(1),0.3636363636363636,0.07,0.22222222222222224,1.0,90.0
0.5028571428571429,Linear VAR(1),0.3649708090075062,0.11,0.22322097378277156,1.0,89.6
0.7835714285714286,Linear VAR(1),0.6293341213553979,0.12,0.5449642079053844,0.75,27.8
0.61,Linear VAR(1),0.35781493868450387,0.13,1.0,0.22000000000000003,4.4
0.51,Linear VAR(1),0.03809523809523809,0.14,0.4,0.02,0.4
0.5,Linear VAR(1),0.0,0.15,0.0,0.0,0.0
0.5,Linear VAR(1),0.0,0.16,0.0,0.0,0.0
0.5,Linear VAR(1),0.0,0.17,0.0,0.0,0.0
0.5,Lorenz-96 F=10,0.2727272727272727,0.02,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=10,0.2727272727272727,0.13,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=10,0.2727272727272727,0.14,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=10,0.2727272727272727,0.15,0.15789473684210525,1.0,380.0
0.6814583333333334,Lorenz-96 F=10,0.4148360923755323,0.16,0.3129878019803723,0.6166666666666667,118.2
0.5,Lorenz-96 F=10,0.0,0.17,0.0,0.0,0.0
0.5,Lorenz-96 F=10,0.0,0.18,0.0,0.0,0.0
0.5,Lorenz-96 F=10,0.0,0.19,0.0,0.0,0.0
0.5,Lorenz-96 F=10,0.0,0.28,0.0,0.0,0.0
0.5,Lorenz-96 F=40,0.2727272727272727,0.02,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=40,0.2727272727272727,0.13,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=40,0.2727272727272727,0.14,0.15789473684210525,1.0,380.0
0.5,Lorenz-96 F=40,0.2727272727272727,0.15,0.15789473684210525,1.0,380.0
0.8399999999999999,Lorenz-96 F=40,0.6853757530992932,0.16,0.6183262032085561,0.7699999999999999,75.0
0.5,Lorenz-96 F=40,0.0,0.17,0.0,0.0,0.0
0.5,Lorenz-96 F=40,0.0,0.18,0.0,0.0,0.0
0.5,Lorenz-96 F=40,0.0,0.19,0.0,0.0,0.0
0.5,Lorenz-96 F=40,0.0,0.28,0.0,0.0,0.0
